#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
EVTOPTA5552928;Just how many will die?;Combien vont mourir ?;;;¿Cuántos morirán?;;;;;;;;;x
EVTTOOLTIPwildfire.20;will hear of this disaster.;va entendre parler de ce désastre.;;;oirán acerca de este desastre.;;;;;;;;;x
EVTDESCwildfire.20;All it took was a single spark. The wildfire stockpile in [Root.Capital.GetName] has been ignited, and now fire rages beyond all possible human control throughout the province.;Tout a commencé avec une simple étincelle… La réserve de feu grégeois de [From.Capital.GetName] s'est enflammée, et maintenant le feu se propage dans la province, incontrôlable. ;;;Sólo hacía falta una chispa. La reserva de fuego valyrio en [From.Capital.GetName] ha prendido, y ahora el fuego ruge incontrolable en toda la provincia.;;;;;;;;;x
EVTOPTAwildfire.20;Somebody do something!;Que quelqu'un fasse quelque chose !;;;Que alguien haga algo!;;;;;;;;;x
EVTDESCwildfire.21;Despite your best efforts to escape, you find yourself caught in the fires ravaging [Root.Location.GetName]!;Malgré tous vos efforts pour vous échapper, vous vous êtes fait piéger par les flammes ravageant [Root.Location.GetName] !;;;A pesar de vuestros esfuerzos por escapar, os encuentra atrapado en las llamas que asolan [Root.Location.GetName].;;;;;;;;;x
EVTOPTAwildfire.21;Help! Help!;Au secours ! Au secours !;;;Ayuda! Ayuda!;;;;;;;;;x
EVTDESCwildfire.22;At last, the wildfire outbreak in [Root.Capital.GetName] has finally subsided.;Enfin, l'incendie de feu grégeois à [Root.Capital.GetName] a finalement cessé. ;;;Por fin, el incendio de fuego valyrio en [Root.Capital.GetName] se ha extinguido.;;;;;;;;;x
EVTOPTAwildfire.22;See to the survivors, and start rebuilding what we can.;Occupez-vous des survivants et commencez à reconstruire le nécessaire. ;;;Ocupaos de los sobrevivientes, y empezar a reconstruir lo que podamos.;;;;;;;;;x
EVTOPTB552913;Good, that was a shrewd action;Bien, ce fut une action judicieuse;;;Bien, fue una acción responsable.;;;;;;;;;x
used_wildfire_in_siege;Used Wildfire in a Siege;A utilisé le feu grégeois lors d'un siège;;;Fuego Valyrio usado en un asedio;;;;;;;;;x
EVTDESCwildfire.23;Despite [From.GetHerHis] best efforts to escape, your [GetFromRelation] [From.GetTitledFirstNameNoRegnal] has been caught in the fires ravaging [From.Location.GetName]!;Malgré tous ses efforts pour s'échapper, votre [GetFromRelation] [From.GetTitledFirstNameNoRegnal] s'est fait piéger par les flammes ravageant [Root.Location.GetName] !;;;;;;;;;;;;x
EVTOPTAwildfire.23;That is terrible!;C'est terrible !;;;;;;;;;;;;x
