#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTOPTClovers.500;For this, you forfeit your right to inheritance!;Je vous déshérite !;Je vous déshérite !;Je vous déshérite !;Por esto, te desheredaré!;;;;;;;;;x
EVTOPTBlovers.500;[From.GetSheHeCap] can marry for love, I don't mind;[From.GetSheHeCap] peut se marier par amour, je ne m'y opposerais pas.;[From.GetSheHeCap] peut se marier par amour, je ne m'y opposerais pas.;[From.GetSheHeCap] peut se marier par amour, je ne m'y opposerais pas.;[From.GetSheHeCap] puede casarse por amor, no me opondré.;;;;;;;;;x
EVTDESClovers.501;In [FromFromFrom.GetHerHis] youth, your [GetFromFromFromRelation] [FromFromFrom.GetFirstName] married for love against your wishes, and for this [FromFromFrom.GetSheHe] forfeited any right to [FromFromFrom.GetHerHis] inheritance. Now that [FromFromFrom.GetSheHe] has married to a match of your choosing, perhaps [FromFromFrom.GetSheHe] should be written into your will again?;Dans sa jeunesse, votre [GetFromFromFromRelation] [FromFromFrom.GetFirstName] s'est marié(e) par amour et contre votre volonté, pour cette raison  [FromFromFrom.GetSheHe] a renoncé à ses droits sur l'héritage. Maintenant qu' [FromFromFrom.GetSheHe] s'est marié(e) à une personne que vous avez choisie, peut-être pourra-t-[FromFromFrom.GetSheHe] récupérer ses droits ?;;;;;;;;;;;;x
EVTOPTAlovers.501;Yes, I shall do just that;Oui, le passé n'est plus.;Oui, le passé n'est plus.;Oui, le passé n'est plus.;Sí, el pasado ya no existe;;;;;;;;;x
EVTOPTBlovers.501;No, this does not erase past dishonour;Non, cela n'efface pas l'humiliation passée.;Non, cela n'efface pas l'humiliation passée.;Non, cela n'efface pas l'humiliation passée.;No, esto no borra la humillación pasada.;;;;;;;;;x
EVTDESClovers.502;[Root.GetTitledFirstName], for the crime of marrying against [FromFrom.GetHerHis] liege's will, [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] and [FromFrom.GetHerHis] heirs by the illegal marriage have been hereby barred from succession to [From.GetTitledFirstName]'s lands.\n\nSigned,\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetTitledFirstName], pour s'être marié contre la volonté de son suzerain, [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] et ses héritiers issus de ce mariage illégal sont exclus de la succession des terres de [From.GetTitledFirstName].\n\nSigné,\n[From.GetTitledFirstNameNoRegnal] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;;;;;;;;;;x
EVTOPTAlovers.502;A harsh measure I must say;Une mesure des plus sévères.;Une mesure des plus sévères.;Une mesure des plus sévères.;Una medida muy severa.;;;;;;;;;x
opinion_disinherited_me;Disinherited Me;M'a déshérité;M'a déshérité;M'a déshérité;Me desheredó;;;;;;;;;x
EVTDESC73558;[Root.PrimaryTitle.GetFOA], for some time now I have been in the employ of [From.Liege.GetTitledFirstName], but now I seek a better station. I humbly request to join you in [Root.Capital.GetName], so that I may serve you. All I ask is for in return is small recompense.\n\nYours,\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], cela fait déjà un certain temps que je suis au service de [From.Liege.GetTitledFirstName], mais je cherche désormais une meilleure situation. Je vous demande humblement de bien vouloir accepter ma requête de vous rejoindre à [Root.Capital.GetName], pour que je puisse vous servir. Tout ce que je demande en retour est une simple petite récompense.\n\nCordialement,\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], cela fait déjà un certain temps que je suis au service de [From.Liege.GetTitledFirstName], mais je cherche désormais une meilleure situation. Je vous demande humblement de bien vouloir accepter ma requête de vous rejoindre à [Root.Capital.GetName], pour que je puisse vous servir. Tout ce que je demande en retour est une simple petite récompense.\n\nCordialement,\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], cela fait déjà un certain temps que je suis au service de [From.Liege.GetTitledFirstName], mais je cherche désormais une meilleure situation. Je vous demande humblement de bien vouloir accepter ma requête de vous rejoindre à [Root.Capital.GetName], pour que je puisse vous servir. Tout ce que je demande en retour est une simple petite récompense.\n\nCordialement,\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], desde hace un tiempo estoy al servicio de [From.Liege.GetTitledFirstName], pero busco una mejor situación. Os pido humildemente de aceptar mi petición de ir a [Root.Capital.GetName], para poderos servir. Todo lo que pido a cambio es una pequeña recompensa.\n\nCordialmente,\n[From.GetTitledFirstName];;;;;;;;;x
EVTOPTA73558;I accept, we need people like you;J'accepte, nous avons besoin de personnes telles que vous.;J'accepte, nous avons besoin de personnes telles que vous.;J'accepte, nous avons besoin de personnes telles que vous.;Acepto, necesitamos personas como como tu.;;;;;;;;;x
EVTOPTB73558;No, I have quite enough courtiers already;Non, j'ai déjà bien assez de courtisans.;Non, j'ai déjà bien assez de courtisans.;Non, j'ai déjà bien assez de courtisans.;No, ya tengo suficientes cortesanos.;;;;;;;;;x
EVTDESC73559;[Root.PrimaryTitle.GetFOA], I thank you for having me in your houshold these past years, but I must serve a higher purpose now. [From.GetTitledFirstName] has accepted me into [From.GetHerHis] service, and so I shall leave for [From.Capital.GetName] immediately.\n\nYours,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], je vous suis très reconnaissant de m'avoir gardé à votre service toutes ces années, mais je dois désormais servir de plus grands intérêts. [From.GetTitledFirstName] a accepté de me prendre à son service, et je vais quitter immédiatement [From.Capital.GetName].\n\nCordialement,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], je vous suis très reconnaissant de m'avoir gardé à votre service toutes ces années, mais je dois désormais servir de plus grands intérêts. [From.GetTitledFirstName] a accepté de me prendre à son service, et je vais quitter immédiatement [From.Capital.GetName].\n\nCordialement,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], je vous suis très reconnaissant de m'avoir gardé à votre service toutes ces années, mais je dois désormais servir de plus grands intérêts. [From.GetTitledFirstName] a accepté de me prendre à son service, et je vais quitter immédiatement [From.Capital.GetName].\n\nCordialement,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], os agradezco enormemente por haberme tenido a vuestro servicio todos estos años, pero ahora serviré a intereses mayores. [From.GetTitledFirstName] ha aceptado tomarme a su servicio, y saldré de inmediato hacia [From.Capital.GetName].\n\nCordialmente,\n[FromFrom.GetTitledFirstName];;;;;;;;;x
EVTOPTA73559;Good luck;Bonne chance;Bonne chance;Bonne chance;Buena suerte;;;;;;;;;x
opinion_rejected_service;Rejected my Service;A rejeté mes services;A rejeté mes services;A rejeté mes services;Rechazó mis servicios;;;;;;;;;x
EVTDESCplot_event.50;As personal bodyguard to [Root.PlotTarget.GetTitledFirstName], you should be able to get yourself into a position to strike [Root.PlotTarget.GetHerHim] down. The [Root.PlotTarget.GetTitle]'s quarters will be quiet tonight, perhaps then?;En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], vous devriez être capable de trouver une opportunité d'abattre [Root.PlotTarget.GetHerHim]. Les quartiers de [Root.PlotTarget.GetTitle] devraient être calmes ce soir, peut-être est-ce le moment de frapper ?;En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], vous devriez être capable de trouver une opportunité d'abattre [Root.PlotTarget.GetHerHim]. Les quartiers de [Root.PlotTarget.GetTitle] devraient être calmes ce soir, peut-être est-ce le moment de frapper ?;En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], vous devriez être capable de trouver une opportunité d'abattre [Root.PlotTarget.GetHerHim]. Les quartiers de [Root.PlotTarget.GetTitle] devraient être calmes ce soir, peut-être est-ce le moment de frapper ?;Como guardaespaldas personal de [Root.PlotTarget.GetTitledFirstName], deberías ser capaz de encontrar una oportunidad de abatirlo. Las cámaras de [Root.PlotTarget.GetTitle] deberían estar tranquilas esta noche, tal vez este sea el momento de golpear?;;;;;;;;;x
EVTOPTAplot_event.50;Yes, my backers will cause a distraction;Oui, mes complices vont faire diversion.;Oui, mes complices vont faire diversion.;Oui, mes complices vont faire diversion.;Sí, mis cómplices causarán una distracción.;;;;;;;;;x
EVTOPTBplot_event.50;I'll need to bribe some servants;Je vais avoir besoin de corrompre quelques serviteurs.;Je vais avoir besoin de corrompre quelques serviteurs.;Je vais avoir besoin de corrompre quelques serviteurs.;Necesitaré comprar a algunos sirvientes.;;;;;;;;;x
EVTTOOLTIPplot_event.54;You attempt to kill [Root.PlotTarget.GetTitledFirstName] without anyone noticing;Vous tentez de tuer [Root.PlotTarget.GetTitledFirstName] sans que personne ne le remarque.;Vous tentez de tuer [Root.PlotTarget.GetTitledFirstName] sans que personne ne le remarque.;Vous tentez de tuer [Root.PlotTarget.GetTitledFirstName] sans que personne ne le remarque.;Intentas matar a [Root.PlotTarget.GetTitledFirstName] sin que nadie se de cuenta.;;;;;;;;;x
EVTOPTCplot_event.50;I know precisely the right moment;Je sais précisemment quand il faudra frapper.;Je sais précisemment quand il faudra frapper.;Je sais précisemment quand il faudra frapper.;Sé exactamente cuando atacar.;;;;;;;;;x
EVTDESCplot_event.51;As personal bodyguard to the very person you want dead, you should be able to get yourself into a position to strike them down. Their quarters will be quiet tonight, perhaps then?;En tant que garde du corps personnel de la personne que vous voulez tuer, vous devriez être capable de trouver une opportunité de l'abattre. Ses quartiers seront calmes ce soir, peut-être est-ce le moment de frapper ?;En tant que garde du corps personnel de la personne que vous voulez tuer, vous devriez être capable de trouver une opportunité de l'abattre. Ses quartiers seront calmes ce soir, peut-être est-ce le moment de frapper ?;En tant que garde du corps personnel de la personne que vous voulez tuer, vous devriez être capable de trouver une opportunité de l'abattre. Ses quartiers seront calmes ce soir, peut-être est-ce le moment de frapper ?;Como guardaespaldas personal de la persona a la que quieres matar, deberías ser capaz de encontrar una oportunidad de abatirlo. Las cámaras de [Root.PlotTarget.GetTitle] deberían estar tranquilas esta noche, tal vez este sea el momento de golpear?;;;;;;;;;x
EVTDESCplot_event.750;[From.GetTitledFirstName], one of your fellow conspirators, has arranged to meet you. As a personal bodyguard to [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] claims [From.GetSheHe] can get private access to the target within days, and will be able to kill [Root.PlotTarget.GetHerHim]. All [From.GetSheHe] asks for is coin so servants can be bribed to stay away.;[From.GetTitledFirstName], l'un de vos complices, s'est arrangé pour vous rencontrer. En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer. Tout ce qu'[From.GetSheHe] demande c'est un peu d'argent pour corrompre les serviteurs afin qu'ils restent à l'écart. ;[From.GetTitledFirstName], l'un de vos complices, s'est arrangé pour vous rencontrer. En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer. Tout ce qu'[From.GetSheHe] demande c'est un peu d'argent pour corrompre les serviteurs afin qu'ils restent à l'écart. ;[From.GetTitledFirstName], l'un de vos complices, s'est arrangé pour vous rencontrer. En tant que garde du corps personnel de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer. Tout ce qu'[From.GetSheHe] demande c'est un peu d'argent pour corrompre les serviteurs afin qu'ils restent à l'écart. ;[From.GetTitledFirstName], uno de tus cómplices, ha quedado contigo. Como guardaespaldas personal de [Root.PlotTarget.GetTitledFirstName], piensa que podrá tener acceso al objetivo los próximos días, y podrá acabar con él. Todo lo que necesita es un poco de dinero para sobornar a unos cuantos sirvientes para mantenerlos alejados. ;;;;;;;;;x
EVTOPTAplot_event.750;Yes, strike fast and leave no trace;Oui, frappez vite et ne laissez aucune trace.;Oui, frappez vite et ne laissez aucune trace.;Oui, frappez vite et ne laissez aucune trace.;Sí, golpead rápido y no dejéis ninguna prueba.;;;;;;;;;x
EVTDESCplot_event.52;[From.GetTitledFirstName] is fully on board with your plan, and agrees to provide coin for bribes. [From.GetSheHeCap] bids you kill [From.PlotTarget.GetTitledFirstName] as swiftly as possible.;[From.GetTitledFirstName] est très emballé par votre plan et accepte de fournir de l'argent pour corrompre les serviteurs. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] est très emballé par votre plan et accepte de fournir de l'argent pour corrompre les serviteurs. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] est très emballé par votre plan et accepte de fournir de l'argent pour corrompre les serviteurs. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] está muy entusiasmado con tu plan y acepta proporcionar dinero para corromper a los sirvientes. [From.GetSheHeCap] pide que mates a [From.PlotTarget.GetTitledFirstName] lo más rápido posible.;;;;;;;;;x
EVTDESCplot_event.53;[From.GetTitledFirstName] seems dubious of your plan, questioning whether our involvement would truly go unnoticed. [From.GetSheHeCap] will not provide coin for this.;[From.GetTitledFirstName] semble douter de la réussite de votre plan, et se demande si notre implication passera inaperçue. [From.GetSheHeCap] ne fournira pas d'argent.;[From.GetTitledFirstName] semble douter de la réussite de votre plan, et se demande si notre implication passera inaperçue. [From.GetSheHeCap] ne fournira pas d'argent.;[From.GetTitledFirstName] semble douter de la réussite de votre plan, et se demande si notre implication passera inaperçue. [From.GetSheHeCap] ne fournira pas d'argent.;[From.GetTitledFirstName] parece dudar del éxito de tu plan, y se pregunta si nuestra implicación pasará inadvertida. [From.GetSheHeCap] no proporcionará el dinero.;;;;;;;;;x
EVTDESCplot_event.54;As dusk is closing in, you feal weariness take hold and retire to your chambers. [Root.Capital.GetName] is eerily quiet tonight, as is your chamber. You suddenly have a feeling of unease when you feel the presence of someone behind you...;Au crépuscule vous vous sentez fatigué et vous vous retirez dans vos quartiers. [Root.Capital.GetName] semble bien silencieuse cette nuit, tout comme votre chambre. Vous vous sentez soudain mal à l'aise en vous rendant compte d'une présence derrière vous...;Au crépuscule vous vous sentez fatigué et vous vous retirez dans vos quartiers. [Root.Capital.GetName] semble bien silencieuse cette nuit, tout comme votre chambre. Vous vous sentez soudain mal à l'aise en vous rendant compte d'une présence derrière vous...;Au crépuscule vous vous sentez fatigué et vous vous retirez dans vos quartiers. [Root.Capital.GetName] semble bien silencieuse cette nuit, tout comme votre chambre. Vous vous sentez soudain mal à l'aise en vous rendant compte d'une présence derrière vous...;Al anochecer te sientes fatigado y te retiras a tus aposentos. [Root.Capital.GetName] parece estar muy silenciosa esta noche, también tu habitación. De repente te sientes incómodo y notas la presencia detrás tuya...;;;;;;;;;x
EVTOPTAplot_event.54;I'm sure there is nothing there;Je suis sûr qu'il n'y a rien.;Je suis sûr qu'il n'y a rien.;Je suis sûr qu'il n'y a rien.;Estoy seguro de que no hay nadie.;;;;;;;;;x
EVTOPTBplot_event.54;Guards! In here, quick!;Gardes ! Vite !;Gardes ! Vite !;Gardes ! Vite !;Guardas! Rápido!;;;;;;;;;x
EVTDESCplot_event.55;A sudden bout of pain hits you, and you realise someone has just drove a sword into you! You let out a cry of anguish and writh free of your assailant, realising it is [From.GetTitledFirstName] who has attacked you, the very [From.GetWomanMan] sworn to protect you! [From.GetSheHeCap] then flees as your servants rush in...;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous laissez échapper un cri de souffrance et parvenez à vous dégager de l'emprise de votre assaillant. Vous réalisez que [From.GetTitledFirstName] vous a attaqué, l'(a)[From.GetWomanMan] qui a juré de vous protéger ! [From.GetSheHeCap] s'enfuit alors que vos serviteurs arrivent... ;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous laissez échapper un cri de souffrance et parvenez à vous dégager de l'emprise de votre assaillant. Vous réalisez que [From.GetTitledFirstName] vous a attaqué, l'(a)[From.GetWomanMan] qui a juré de vous protéger ! [From.GetSheHeCap] s'enfuit alors que vos serviteurs arrivent... ;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous laissez échapper un cri de souffrance et parvenez à vous dégager de l'emprise de votre assaillant. Vous réalisez que [From.GetTitledFirstName] vous a attaqué, l'(a)[From.GetWomanMan] qui a juré de vous protéger ! [From.GetSheHeCap] s'enfuit alors que vos serviteurs arrivent... ;Sientes de repente un gran dolor cuando alguien te perfora con una espada! Dejas caer un grito de sufrimiento mientras intentas escapar de las garras del atacante. Te das cuenta que [From.GetTitledFirstName] te ha atacado, él, que ha jurado protegerte! [From.GetSheHeCap] huye mientras tus sirvientes llegan... ;;;;;;;;;x
EVTOPTAplot_event.55;How could [From.GetSheHe]?;Comment a-t-[From.GetSheHe] pu ?;Comment a-t-[From.GetSheHe] pu ?;Comment a-t-[From.GetSheHe] pu ?;Cómo ha podido?;;;;;;;;;x
EVTDESCplot_event.56;A sudden bout of pain hits you, and you realise someone has just drove a sword into your back! You try to let out a cry of anguish, but your assailant keeps their hand over your mouth. They finish you off by slitting your throat, leaving you dead in a pool of blood.;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous tentez de crier mais votre assaillant parvient à maintenir sa main sur votre bouche. Il vous achève en vous tranchant la gorge puis vous laisse pour mort dans une flaque de sang. ;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous tentez de crier mais votre assaillant parvient à maintenir sa main sur votre bouche. Il vous achève en vous tranchant la gorge puis vous laisse pour mort dans une flaque de sang. ;Vous ressentez soudain une grande douleur alors que vous réalisez que quelqu'un vous a transpercé avec une lame ! Vous tentez de crier mais votre assaillant parvient à maintenir sa main sur votre bouche. Il vous achève en vous tranchant la gorge puis vous laisse pour mort dans une flaque de sang. ;Sientes de repente un gran dolor cuando alguien te perfora con una espada! Intentas gritar pero el asaltante mantiene su mano en tu boca. Acaba contigo cortándote la garganta y dejándote muerto en un charco de sangre. ;;;;;;;;;x
EVTOPTAplot_event.56;Arrrggghh!;Arrrggghh!;Arrrggghh!;Arrrggghh!;Arrrggghh!;;;;;;;;;x
EVTDESCplot_event.57;You wheel around to see the sight of [From.GetTitledFirstName] bringing [From.GetHerHis] sword down upon you! You dodge the blow and manage to grab your sword in time to meet the next. For what seems like hours you defend yourself before your other guards arrive, causing [From.GetHerHim] to flee.;Vous vous retournez à temps pour voir [From.GetTitledFirstName] tentant de vous asséner un coup avec sa lame ! Vous parvenez à esquiver puis vous vous emparez de votre propre épée. Vous vous défendez pendant ce qui vous paraît des heures avant que vos gardes n'arrivent, le(a) forçant à s'enfuir.;Vous vous retournez à temps pour voir [From.GetTitledFirstName] tentant de vous asséner un coup avec sa lame ! Vous parvenez à esquiver puis vous vous emparez de votre propre épée. Vous vous défendez pendant ce qui vous paraît des heures avant que vos gardes n'arrivent, le(a) forçant à s'enfuir.;Vous vous retournez à temps pour voir [From.GetTitledFirstName] tentant de vous asséner un coup avec sa lame ! Vous parvenez à esquiver puis vous vous emparez de votre propre épée. Vous vous défendez pendant ce qui vous paraît des heures avant que vos gardes n'arrivent, le(a) forçant à s'enfuir.;Te das la vuelta a tiempo para ver a [From.GetTitledFirstName] intentando asestarte un golpe con la espada! Logras esquivarlo mientras blandes tu espada. Te defiendes durante lo que te parecen horas antes de que tus guardias lleguen, forzándole a huir.;;;;;;;;;x
EVTOPTAplot_event.57;Coward and oathbreaker!;Lâche ! Parjure !;Lâche ! Parjure !;Lâche ! Parjure !;Cobarde! Rompejuramentos!;;;;;;;;;x
EVTDESCplot_event.58;Your guards and servants immediately rush in after your cry of help. You turn around to where you thought you heard the noise but see nothing there. You could of sworn someone was behind you...;Vos gardes et vos serviteurs se précipitent immédiatement pour vous venir en aide. Vous vous retournez mais ne voyez rien ni personne. Vous auriez pourtant juré avoir entendu quelqu'un derrière vous…;Vos gardes et vos serviteurs se précipitent immédiatement pour vous venir en aide. Vous vous retournez mais ne voyez rien ni personne. Vous auriez pourtant juré avoir entendu quelqu'un derrière vous…;Vos gardes et vos serviteurs se précipitent immédiatement pour vous venir en aide. Vous vous retournez mais ne voyez rien ni personne. Vous auriez pourtant juré avoir entendu quelqu'un derrière vous…;Tus guardias y sirvientes se precipitan inmediatamente para venir en tu ayuda. Te das la vuelta pero no ves a nadie. Habrías jurado que había alguien detrás de ti…;;;;;;;;;x
EVTOPTAplot_event.58;What if someone was there?;Et si quelqu'un était ici ?;Et si quelqu'un était ici ?;Et si quelqu'un était ici ?;Y si alguien estaba aquí?;;;;;;;;;x
EVTDESCplot_event.59;[From.GetTitledFirstName], one of your fellow conspirators, has arranged to meet you. As a personal bodyguard to [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] claims [From.GetSheHe] can get private access to the target within days, and will be able to kill [Root.PlotTarget.GetHerHim].;[From.GetTitledFirstName], l'un de vos complices a arrangé une rencontre avec vous. En tant que garde du corps personne de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer.;[From.GetTitledFirstName], l'un de vos complices a arrangé une rencontre avec vous. En tant que garde du corps personne de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer.;[From.GetTitledFirstName], l'un de vos complices a arrangé une rencontre avec vous. En tant que garde du corps personne de [Root.PlotTarget.GetTitledFirstName], [From.GetSheHe] pense qu'[From.GetSheHe] pourra avoir accès à la cible dans les prochains jours, et pourra ainsi le(a) tuer.;uno de tus cómplices, ha quedado contigo. Como guardaespaldas personal de [Root.PlotTarget.GetTitledFirstName], piensa que podrá tener acceso al objetivo los próximos días, y podrá acabar con él.;;;;;;;;;x
EVTOPTAplot_event.59;Good, strike fast!;Bien, frappez vite !;Bien, frappez vite !;Bien, frappez vite !;Bien, matadlo rápidamente!;;;;;;;;;x
EVTDESCplot_event.60;[From.GetTitledFirstName] is fully on board with your plan, and agrees to the strike. [From.GetSheHeCap] bids you kill [From.PlotTarget.GetTitledFirstName] as swiftly as possible.;[From.GetTitledFirstName] est très emballé par votre plan. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] est très emballé par votre plan. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] est très emballé par votre plan. [From.GetSheHeCap] vous demande de tuer [From.PlotTarget.GetTitledFirstName] le plus rapidement possible.;[From.GetTitledFirstName] está muy entusiasmado con tu plan. [From.GetSheHeCap] pide que mates a [From.PlotTarget.GetTitledFirstName] lo más rápido posible.;;;;;;;;;x
EVTDESCplot_event.61;[From.GetTitledFirstName] has gained access to [From.PlotTarget.GetTitledFirstName] through the backing of a bodyguard, and is now moving to strike [From.PlotTarget.GetHerHim] down in the next few days.;[From.GetTitledFirstName] a obtenu un accès à [From.PlotTarget.GetTitledFirstName] grâce à la complicité d'un garde du corps et est prêt à l'abattre dans les jours qui viennent.;[From.GetTitledFirstName] a obtenu un accès à [From.PlotTarget.GetTitledFirstName] grâce à la complicité d'un garde du corps et est prêt à l'abattre dans les jours qui viennent.;[From.GetTitledFirstName] a obtenu un accès à [From.PlotTarget.GetTitledFirstName] grâce à la complicité d'un garde du corps et est prêt à l'abattre dans les jours qui viennent.;[From.GetTitledFirstName] ha obtenido acceso a [From.PlotTarget.GetTitledFirstName] gracias a la complicidad de un guardaespaldas y está listo para matarlo en lo próximos días.;;;;;;;;;x
EVTDESCplot_event.62;[FromFrom.GetTitledFirstName] successfully gained access to [From.GetTitledFirstName]'s chamber just as dusk fell. Before [From.GetSheHe] knew what happened, [FromFrom.GetTitledFirstName] drove [FromFrom.GetHerHis] sword into [From.GetHerHis] back, killing [From.GetHerHim]. Many servants saw this happen however, and now all know of this betrayal.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. Cependant de nombreux serviteurs dont été témoins de la scène et tout le monde est désormais au courant de sa trahison.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. Cependant de nombreux serviteurs dont été témoins de la scène et tout le monde est désormais au courant de sa trahison.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. Cependant de nombreux serviteurs dont été témoins de la scène et tout le monde est désormais au courant de sa trahison.;[FromFrom.GetTitledFirstName] consiguió acceder a la habitación de [From.GetTitledFirstName] mientras el sol se ponía. Antes de que se diera cuenta, [FromFrom.GetTitledFirstName] lo traspasó con su espada. Sin embargo numerosos sirvientes fueron testigos de la escena y todo el mundo está al corriente de su traición.;;;;;;;;;x
EVTDESCplot_event.63;[FromFrom.GetTitledFirstName] successfully gained access to [From.GetTitledFirstName]'s chamber just as dusk fell. Before [From.GetSheHe] knew what happened, [FromFrom.GetTitledFirstName] drove [FromFrom.GetHerHis] sword into [From.GetHerHis] back, killing [From.GetHerHim]. [FromFrom.GetSheHeCap] managed to slip away, leaving no trace of who did it.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. [FromFrom.GetSheHeCap] a réussi à s'échapper sans que personne ne le remarque.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. [FromFrom.GetSheHeCap] a réussi à s'échapper sans que personne ne le remarque.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Avant qu'[From.GetSheHe] ne réalise quoique ce soit, [FromFrom.GetTitledFirstName] l'a transpercé de son épée. [FromFrom.GetSheHeCap] a réussi à s'échapper sans que personne ne le remarque.;[FromFrom.GetTitledFirstName] consiguió acceder a la habitación de [From.GetTitledFirstName] mientras el sol se ponía. Antes de que se diera cuenta, [FromFrom.GetTitledFirstName] lo traspasó con su espada y consiguió escapar sin que nadie lo notara.;;;;;;;;;x
EVTOPTAplot_event.63;A betrayal worth doing;Une trahison des plus réussies.;Une trahison des plus réussies.;Une trahison des plus réussies.;Una traición muy exitosa;;;;;;;;;x
